week,week_raw,incidencePer100k,geo_insee,geo_name
2022-W21,202221,18,FR,"France"
2022-W20,202220,26,FR,"France"
2022-W19,202219,26,FR,"France"
2022-W18,202218,42,FR,"France"
2022-W17,202217,54,FR,"France"
2022-W16,202216,82,FR,"France"
2022-W15,202215,160,FR,"France"
2022-W14,202214,241,FR,"France"
2022-W13,202213,283,FR,"France"
2022-W12,202212,241,FR,"France"
2022-W11,202211,171,FR,"France"
2022-W10,202210,121,FR,"France"
2022-W09,202209,66,FR,"France"
2022-W08,202208,42,FR,"France"
2022-W07,202207,48,FR,"France"
2022-W06,202206,64,FR,"France"
2022-W05,202205,92,FR,"France"
2022-W04,202204,100,FR,"France"
2022-W03,202203,102,FR,"France"
2022-W02,202202,79,FR,"France"
2022-W01,202201,82,FR,"France"
2021-W52,202152,72,FR,"France"
2021-W51,202151,54,FR,"France"
2021-W50,202150,51,FR,"France"
2021-W49,202149,51,FR,"France"
2021-W48,202148,53,FR,"France"
2021-W47,202147,46,FR,"France"
2021-W46,202146,36,FR,"France"
2021-W45,202145,24,FR,"France"
2021-W44,202144,23,FR,"France"
2021-W43,202143,29,FR,"France"
2021-W42,202142,34,FR,"France"
2021-W41,202141,29,FR,"France"
2021-W40,202140,27,FR,"France"
2021-W39,202139,23,FR,"France"
2021-W38,202138,17,FR,"France"
2021-W37,202137,14,FR,"France"
2021-W36,202136,12,FR,"France"
2021-W35,202135,12,FR,"France"
2021-W34,202134,13,FR,"France"
2021-W33,202133,10,FR,"France"
2021-W32,202132,13,FR,"France"
2021-W31,202131,16,FR,"France"
2021-W30,202130,13,FR,"France"
2021-W29,202129,13,FR,"France"
2021-W28,202128,9,FR,"France"
2021-W27,202127,8,FR,"France"
2021-W26,202126,6,FR,"France"
2021-W25,202125,6,FR,"France"
2021-W24,202124,5,FR,"France"
2021-W23,202123,6,FR,"France"
2021-W22,202122,7,FR,"France"
2021-W21,202121,8,FR,"France"
2021-W20,202120,11,FR,"France"
2021-W19,202119,10,FR,"France"
2021-W18,202118,10,FR,"France"
2021-W17,202117,12,FR,"France"
